Nome da instancia,Tempo grafo,Tempo grafo residual,Tempo grafo residual(delta),Tempo calcula capacidade,Tempo BFS,Tempo empurra fluxo,vertices,arcos,fluxo,tempo(ns),caminhos
BVZ-tsukuba4.max,102637241,15814728,855577223,43555776965,1129135595,11996829434,110594,496135,48947,57665256034,11089
BVZ-tsukuba15.max,106587344,16647761,1095864976,23699009985,1475533047,5927432040,110594,518994,33349,32324273158,6217
BVZ-tsukuba11.max,111833542,16904400,1465217692,32331733193,1949310812,8066997117,110594,510446,42705,43945162002,8402
BVZ-tsukuba6.max,104689165,17171314,47957620492,66947888941,2402380195,49483764778,110594,512938,187576,166993751212,26626
BVZ-tsukuba1.max,107592580,18044858,52656520403,135680865040,4065882620,67668313435,110594,526213,264801,260332078584,36312
BVZ-tsukuba7.max,103269550,16512828,1031213282,31248275021,1494306674,7867487602,110594,502599,41095,41777539518,8458
BVZ-tsukuba12.max,105865958,16583466,964289823,32661558851,1380568035,7700229170,110594,510816,38887,42834289289,8127
BVZ-tsukuba5.max,105250437,16321212,16632954603,42001789431,1451916092,21244098464,110594,501390,74372,81476776058,15362
BVZ-tsukuba14.max,105567439,16521969,1923983176,35492580630,1634403906,9151105357,110594,515315,50599,48334933515,9232
BVZ-tsukuba2.max,107757230,16302078,981519279,36393211269,1218879250,10146587843,110594,508272,41538,48869462740,8919
BVZ-tsukuba0.max,110523567,16512382,1191553888,32010953411,1216782887,8999814324,110594,514483,34669,43544125292,7820
BVZ-tsukuba3.max,103718550,16360923,858599160,27578018371,1215324614,7538083115,110594,506721,35379,37320199427,7335
BVZ-tsukuba8.max,105116107,16349377,2846813477,39375272662,1501953141,11739059134,110594,503938,54458,55599226691,10846
BVZ-tsukuba10.max,104537605,17260326,19851004536,147023247779,5518386018,68643953239,110594,516529,236298,241298084599,36435
BVZ-tsukuba13.max,114291962,16094185,1231838433862,716574,0,0,110594,551616,0,1231968062976,0
BVZ-tsukuba9.max,108928670,18269586,138396029498,76517032867,3547671524,68957559918,110594,519074,298716,287649705962,38140
