Nome da instancia,Tempo grafo,Tempo grafo residual,Tempo push,Tempo relabel,vertices,arcos,fluxo,tempo(ns)
BVZ-tsukuba4.max,101889751,57121399,448092519210,142630445696,110594,496135,48947,1016647216440
BVZ-tsukuba15.max,105793442,57882796,276675227994,86940032436,110594,518994,33349,642999672122
BVZ-tsukuba11.max,103683648,57831320,292340131865,94368717089,110594,510446,42705,678863997328
BVZ-tsukuba6.max,107498711,58615292,93535329125,26418225857,110594,512938,187576,205998211408
BVZ-tsukuba1.max,108004905,59498221,156615812736,46409579848,110594,526213,264801,354230576454
BVZ-tsukuba7.max,103361971,58080458,391021063072,126729947120,110594,502599,41095,899407372411
BVZ-tsukuba12.max,105405504,58242706,315348950803,102404794451,110594,510816,38887,732616107141
BVZ-tsukuba5.max,106090309,57665437,133714668863,41939364354,110594,501390,74372,304280594503
BVZ-tsukuba14.max,104104478,57730632,262610400929,85209396014,110594,515315,50599,614307398736
BVZ-tsukuba2.max,105022703,57636143,324211304711,105729023200,110594,508272,41538,754387564738
BVZ-tsukuba0.max,105654257,58062888,280989934129,90140253797,110594,514483,34669,656266002046
BVZ-tsukuba3.max,105227177,57931326,355328464932,115372093919,110594,506721,35379,822800821754
BVZ-tsukuba8.max,104933121,57796002,309887454707,100701815238,110594,503938,54458,716877067232
BVZ-tsukuba10.max,104867869,58916490,357896543711,106194898447,110594,516529,236298,782604185710
BVZ-tsukuba13.max,117832968,57950781,0,0,110594,551616,0,92426270
BVZ-tsukuba9.max,108023502,60963151,53109118228,12405926062,110594,519074,298716,107513079008
