Nome da instancia,Tempo grafo,Tempo grafo residual,Tempo Sort,Tempo push,Tempo relabel,Tempo discharge,Vertices,Arcos,Fluxo,Tempo(ns)
BVZ-tsukuba4.max,104385017,15229786,216199701927,227707964127,92450144231,706777916204,110594,496135,48947,1253550237747
BVZ-tsukuba15.max,105520282,16388272,121106202516,128767379570,57946360126,413440610363,110594,518994,33349,745531641999
BVZ-tsukuba11.max,104735869,15977741,132263100053,139261097761,62759168368,448777027062,110594,510446,42705,803260022435
BVZ-tsukuba6.max,110452401,16687175,36744292238,38428703473,17628932120,123409641975,110594,512938,187576,225209085367
BVZ-tsukuba1.max,108232361,17285721,66105173703,69929235777,30070610201,221487311180,110594,526213,264801,403983310910
BVZ-tsukuba7.max,106269158,15771813,185929154325,194323314675,83865846983,617608551925,110594,502599,41095,1097656658179
BVZ-tsukuba12.max,104913547,15988964,143870583070,152881864170,69372742336,492566161221,110594,510816,38887,878843778967
BVZ-tsukuba5.max,105334141,15561588,61147990339,64234451940,25316147971,197595745047,110594,501390,74372,356721004005
BVZ-tsukuba14.max,106381042,16218993,117058067815,124760330622,56240409498,402518921328,110594,515315,50599,724105764550
BVZ-tsukuba2.max,104545484,15963870,155707931622,159226611391,73617301369,525397306631,110594,508272,41538,933897573705
BVZ-tsukuba0.max,104408390,16196596,129543909255,141547489306,59439693599,443803665222,110594,514483,34669,797389896309
BVZ-tsukuba3.max,111767221,15943881,177905315886,189338367002,80733569624,598277144289,110594,506721,35379,1070403720398
BVZ-tsukuba8.max,103535740,15958209,143562714625,152122807666,65840414125,485456127813,110594,503938,54458,866848101229
BVZ-tsukuba10.max,106169896,17067766,157980047256,169579257776,62043847622,506181504282,110594,516529,236298,906500716916
BVZ-tsukuba13.max,114107235,15114618,0,0,0,0,110594,551616,0,89791124
BVZ-tsukuba9.max,107303145,17018060,15129408680,16396242196,7749387162,53981318360,110594,519074,298716,101562781475
