Nome da instancia,fluxo,tempo(ns),vertices,arcos,caminhos
BVZ-tsukuba0.max,34669,409312813700,110594,514483,6702
BVZ-tsukuba1.max,264801,1288979077900,110594,526213,28723
BVZ-tsukuba10.max,236298,1308276968800,110594,516529,29595
BVZ-tsukuba11.max,42705,398280788500,110594,510446,7033
BVZ-tsukuba12.max,38887,421004648500,110594,510816,7274
BVZ-tsukuba13.max,0,58210500,110594,551616,0
BVZ-tsukuba14.max,50599,460709914300,110594,515315,7911
BVZ-tsukuba15.max,33349,345439995800,110594,518994,5517
BVZ-tsukuba2.max,41538,447288041000,110594,508272,7862
BVZ-tsukuba3.max,35379,389066092600,110594,506721,6677
BVZ-tsukuba4.max,48947,474739068900,110594,496135,9827
BVZ-tsukuba5.max,74372,362152712700,110594,501390,12706
BVZ-tsukuba6.max,187576,641622097400,110594,512938,22049
BVZ-tsukuba7.max,41095,400773482400,110594,502599,7392
BVZ-tsukuba8.max,54458,468091590100,110594,503938,9336
BVZ-tsukuba9.max,298716,665033664800,110594,519074,31684
