Nome da instancia,fluxo,tempo(ns),vertices,arcos,caminhos
BVZ-tsukuba0.max,34669,797172928800,110594,514483,
BVZ-tsukuba1.max,264801,455051865100,110594,526213,
BVZ-tsukuba10.max,236298,955847187600,110594,516529,
BVZ-tsukuba11.max,42705,815066957100,110594,510446,
BVZ-tsukuba12.max,38887,883595485700,110594,510816,
BVZ-tsukuba13.max,0,190228100,110594,551616,
BVZ-tsukuba14.max,50599,750634808200,110594,515315,
BVZ-tsukuba15.max,33349,784482005700,110594,518994,
BVZ-tsukuba2.max,41538,954867906700,110594,508272,
BVZ-tsukuba3.max,35379,976505369500,110594,506721,
BVZ-tsukuba4.max,48947,1245076914600,110594,496135,
BVZ-tsukuba5.max,74372,371367058100,110594,501390,
BVZ-tsukuba6.max,187576,250505226500,110594,512938,
BVZ-tsukuba7.max,41095,1130370325100,110594,502599,
BVZ-tsukuba8.max,54458,884721009500,110594,503938,
BVZ-tsukuba9.max,298716,130071566100,110594,519074,
