Nome da instancia,fluxo,tempo(ns),vertices,arcos,caminhos
BVZ-tsukuba0.max,34669,1460985131900,110594,514483,
BVZ-tsukuba1.max,264801,720465872400,110594,526213,
BVZ-tsukuba10.max,236298,1445895426500,110594,516529,
BVZ-tsukuba11.max,42705,1493987548500,110594,510446,
BVZ-tsukuba12.max,38887,1614537071000,110594,510816,
BVZ-tsukuba13.max,0,57552800,110594,551616,
BVZ-tsukuba14.max,50599,1364825045400,110594,515315,
BVZ-tsukuba15.max,33349,1393821146400,110594,518994,
BVZ-tsukuba2.max,41538,1685195959500,110594,508272,
BVZ-tsukuba3.max,35379,1801354826000,110594,506721,
BVZ-tsukuba4.max,48947,2127835064400,110594,496135,
BVZ-tsukuba5.max,74372,588406665700,110594,501390,
BVZ-tsukuba6.max,187576,379814747100,110594,512938,
BVZ-tsukuba7.max,41095,2057612865100,110594,502599,
BVZ-tsukuba8.max,54458,1575977042400,110594,503938,
BVZ-tsukuba9.max,298716,204268453200,110594,519074,
