Nome da instancia,fluxo,tempo(ns),vertices,arcos,caminhos
BVZ-tsukuba0.max,34669,779441126800,110594,514483,
BVZ-tsukuba1.max,264801,415638191900,110594,526213,
BVZ-tsukuba10.max,236298,899727007400,110594,516529,
BVZ-tsukuba11.max,42705,796892077600,110594,510446,
BVZ-tsukuba12.max,38887,870344113800,110594,510816,
BVZ-tsukuba13.max,0,238592600,110594,551616,
BVZ-tsukuba14.max,50599,724398907400,110594,515315,
BVZ-tsukuba15.max,33349,748965373800,110594,518994,
BVZ-tsukuba2.max,41538,902176857200,110594,508272,
BVZ-tsukuba3.max,35379,965401243100,110594,506721,
BVZ-tsukuba4.max,48947,1212298603900,110594,496135,
BVZ-tsukuba5.max,74372,355123402900,110594,501390,
BVZ-tsukuba6.max,187576,231432688900,110594,512938,
BVZ-tsukuba7.max,41095,1076402132500,110594,502599,
BVZ-tsukuba8.max,54458,856997092500,110594,503938,
BVZ-tsukuba9.max,298716,108089187700,110594,519074,
